barometric_pressure,moon_phase,tide_phase,time_of_day,weather,wind_direction,wind_scale,success
2.16,LQ,Low,Daytime,Cloudy,SE,7,1
22.61,FM,Low,Night,Cloudy,NE,6,0
26.19,WC,High,Night,Cloudy,NW,3,0
5.79,WG,Low,Night,Rain,NE,2,1
26.52,FM,High,Daytime,Rain,SE,3,0
18.19,WC,High,Daytime,Rain,W,7,0
26.98,WG,Low,Night,Clear,E,4,0
27.02,NM,Low,Night,Clear,N,5,0
16.45,FQ,Low,Night,Clear,SW,2,1
18.75,LQ,Low,Daytime,Cloudy,S,5,1
9.61,WC,Low,Night,Rain,W,5,0
28.06,NM,High,Night,Clear,E,6,0
8.31,LQ,Low,Night,Cloudy,NE,4,0
4.65,WG,Low,Daytime,Cloudy,N,4,0
14.7,WG,High,Night,Cloudy,S,7,1
17.02,WC,Low,Night,Rain,N,6,1
25.17,FM,Low,Daytime,Clear,SW,6,0
23.76,FQ,Low,Night,Clear,SW,1,0
11.05,NM,Low,Daytime,Clear,NW,6,1
4.89,WC,High,Night,Clear,W,2,1
10.97,NM,Low,Night,Cloudy,W,2,0
15.53,FM,High,Daytime,Rain,NW,3,0
26.0,NM,Low,Daytime,Cloudy,SE,6,0
21.26,FQ,Low,Daytime,Rain,SE,4,0
18.54,NM,Low,Night,Clear,NE,7,1
22.98,WG,Low,Daytime,Clear,SW,1,1
18.99,WG,Low,Daytime,Cloudy,SW,7,0
20.39,WC,Low,Night,Clear,S,8,0
3.47,WC,Low,Night,Rain,SW,2,0
8.19,NM,Low,Daytime,Rain,NE,1,1
8.76,WG,High,Daytime,Cloudy,NW,8,1
13.17,WC,High,Daytime,Cloudy,SE,6,0
2.04,FQ,High,Night,Clear,S,7,1
26.37,WG,Low,Daytime,Cloudy,SW,3,1
28.17,WG,Low,Daytime,Cloudy,E,3,0
10.0,WG,High,Night,Rain,SW,5,0
6.05,FM,High,Daytime,Rain,W,3,0
16.92,LQ,Low,Daytime,Clear,NE,2,0
19.51,LQ,Low,Daytime,Cloudy,NW,1,1
15.17,WG,High,Night,Clear,S,1,0
26.28,FM,High,Daytime,Rain,W,5,0
21.98,WC,Low,Daytime,Clear,NE,1,1
15.04,LQ,High,Night,Rain,E,1,1
7.89,WC,High,Daytime,Rain,SW,2,1
12.34,WG,Low,Daytime,Clear,NE,5,0
18.9,FM,High,Daytime,Clear,W,2,0
21.58,WC,High,Night,Clear,NW,2,1
1.39,FQ,High,Daytime,Rain,SE,7,0
4.95,FQ,High,Night,Cloudy,SW,7,0
21.81,WC,High,Daytime,Cloudy,NE,3,1
14.97,WC,High,Daytime,Cloudy,SE,4,1
17.29,WG,High,Daytime,Cloudy,SW,4,0
5.44,NM,High,Night,Clear,NE,3,0
19.33,LQ,High,Daytime,Clear,E,7,0
26.16,WC,High,Night,Rain,SW,6,1
28.54,FM,High,Daytime,Cloudy,NW,8,1
21.72,WC,Low,Daytime,Cloudy,NE,5,1
1.9,WC,Low,Daytime,Rain,NE,5,0
11.15,FQ,High,Daytime,Rain,NE,1,1
2.03,WG,High,Night,Clear,N,6,1
11.32,NM,High,Night,Clear,E,2,1
4.27,WC,High,Daytime,Cloudy,SW,8,0
27.09,WG,Low,Night,Cloudy,NW,2,0
5.04,LQ,Low,Daytime,Clear,S,4,0
19.77,NM,Low,Night,Cloudy,E,2,1
13.92,FQ,Low,Daytime,Cloudy,E,6,0
14.97,WC,High,Night,Cloudy,NE,1,0
1.28,WG,High,Night,Cloudy,NW,2,0
14.53,FQ,Low,Daytime,Cloudy,NW,3,1
2.06,FM,Low,Night,Rain,NW,2,1
26.76,WG,Low,Daytime,Rain,W,7,0
13.65,FQ,High,Night,Clear,SE,3,1
2.68,WC,High,Night,Cloudy,N,5,0
13.79,WG,Low,Night,Cloudy,SE,4,1
20.09,WG,Low,Night,Cloudy,NW,2,1
11.71,WG,Low,Night,Clear,SE,3,1
20.79,WC,Low,Daytime,Rain,SW,6,0
14.77,NM,Low,Daytime,Cloudy,S,4,1
16.98,WC,High,Night,Rain,SW,1,1
28.28,WG,Low,Daytime,Clear,SW,7,1
19.63,WG,High,Night,Clear,NW,1,0
6.28,WC,Low,Daytime,Rain,SE,5,0
19.26,WC,High,Night,Rain,NW,6,1
22.21,WG,Low,Night,Clear,SE,1,0
7.08,WC,Low,Daytime,Clear,SW,2,1
29.87,WG,Low,Night,Rain,NW,2,1
9.82,FQ,High,Daytime,Cloudy,N,8,1
13.57,WC,High,Night,Cloudy,E,2,1
23.65,NM,Low,Daytime,Rain,NE,6,1
25.18,WC,High,Night,Rain,N,7,1
29.43,WC,Low,Night,Cloudy,SW,2,1
26.92,FM,Low,Daytime,Clear,S,4,0
6.44,FM,High,Night,Cloudy,N,3,1
22.22,WC,High,Daytime,Clear,NE,7,1
10.56,WG,Low,Daytime,Cloudy,SE,8,0
7.44,NM,Low,Daytime,Rain,S,5,0
21.63,LQ,High,Daytime,Cloudy,SW,6,1
14.74,LQ,High,Night,Rain,N,3,0
20.64,FQ,High,Daytime,Rain,SE,3,0
4.07,WC,High,Daytime,Cloudy,NW,1,1
16.33,WG,Low,Night,Cloudy,NW,3,0
3.06,FM,High,Daytime,Rain,W,4,0
17.15,LQ,Low,Night,Cloudy,SW,6,1
13.34,WG,Low,Night,Rain,NW,4,0
17.65,FM,Low,Daytime,Clear,W,4,0
8.68,FM,Low,Daytime,Rain,NW,4,1
8.42,WG,Low,Night,Cloudy,W,8,1
14.96,LQ,High,Night,Rain,W,4,1
10.9,WC,Low,Night,Clear,W,4,1
14.6,WC,Low,Night,Cloudy,NE,3,0
29.31,WG,Low,Daytime,Cloudy,N,1,1
9.86,NM,Low,Night,Clear,SW,4,0
23.81,LQ,High,Daytime,Cloudy,NE,3,1
18.67,FM,High,Daytime,Clear,S,2,0
2.97,NM,Low,Daytime,Clear,N,2,1
8.28,FM,Low,Daytime,Rain,NW,3,1
27.91,NM,Low,Night,Cloudy,N,7,1
22.68,FQ,High,Night,Clear,N,8,1
28.12,WC,Low,Night,Clear,SE,7,1
11.79,WG,High,Night,Rain,NW,3,1
29.36,WC,Low,Daytime,Cloudy,NW,2,1
28.91,WG,High,Daytime,Cloudy,S,7,0
22.61,FQ,High,Daytime,Cloudy,S,3,1
15.4,WC,High,Night,Cloudy,E,7,0
22.46,LQ,Low,Night,Clear,SW,2,0
19.98,WC,High,Daytime,Rain,SE,4,0
18.16,WG,High,Night,Clear,SE,1,0
22.01,NM,High,Daytime,Cloudy,NW,5,0
15.27,FM,High,Daytime,Rain,SE,1,0
29.08,WC,Low,Daytime,Rain,S,7,1
28.04,WG,Low,Daytime,Clear,S,1,0
21.3,FM,High,Night,Rain,NW,7,1
20.37,WG,High,Daytime,Cloudy,E,2,0
20.2,FQ,High,Night,Clear,N,4,0
3.8,WG,Low,Night,Cloudy,E,8,1
28.75,WG,Low,Night,Clear,NE,4,0
28.41,NM,Low,Daytime,Rain,N,3,1
6.07,WG,Low,Night,Rain,E,5,1
9.55,LQ,High,Night,Clear,NW,4,0
21.46,FQ,High,Daytime,Clear,E,7,0
14.47,LQ,High,Daytime,Rain,N,7,0
18.84,NM,High,Night,Cloudy,W,4,1
16.0,NM,Low,Night,Rain,N,3,0
16.3,LQ,High,Night,Rain,SE,3,0
13.62,NM,High,Night,Rain,NW,7,0
20.89,WG,High,Night,Clear,SW,7,1
11.31,WG,Low,Daytime,Cloudy,NE,8,1
3.27,FM,High,Night,Rain,SW,8,1
9.15,FM,Low,Daytime,Cloudy,NW,1,0
11.24,FQ,High,Daytime,Clear,N,1,0
11.42,WG,High,Daytime,Clear,NW,3,0
27.42,FQ,Low,Night,Rain,N,6,0
2.04,WC,High,Night,Rain,S,8,1
19.47,WG,High,Night,Rain,N,7,0
29.33,WG,High,Daytime,Clear,S,2,0
27.16,FQ,Low,Daytime,Clear,SE,8,0
7.71,WC,High,Night,Rain,NW,6,1
29.29,FQ,Low,Night,Clear,SE,7,1
9.36,LQ,Low,Night,Cloudy,SE,5,0
10.77,WC,High,Daytime,Cloudy,SE,3,0
19.27,FQ,Low,Daytime,Rain,SE,7,1
28.37,WC,High,Night,Rain,SW,6,1
4.8,WG,Low,Daytime,Clear,N,8,0
4.39,FM,Low,Daytime,Clear,SE,1,1
22.85,FM,Low,Night,Rain,S,1,1
23.82,WC,Low,Night,Rain,SE,2,0
5.72,FM,Low,Daytime,Clear,NE,7,1
10.92,WG,High,Daytime,Cloudy,E,8,0
23.09,FQ,Low,Night,Clear,E,8,0
19.79,NM,Low,Daytime,Rain,S,5,0
18.52,NM,High,Daytime,Cloudy,W,7,0
27.74,FM,High,Daytime,Cloudy,S,7,0
2.97,FQ,High,Night,Clear,NW,7,1
27.42,WC,Low,Night,Cloudy,E,8,1
25.35,WG,Low,Daytime,Clear,NW,7,1
11.21,WC,High,Daytime,Cloudy,NE,2,0
20.93,FM,Low,Daytime,Clear,SE,5,1
21.48,LQ,Low,Daytime,Cloudy,SE,6,1
23.66,LQ,Low,Night,Cloudy,SW,4,1
28.89,NM,Low,Night,Cloudy,NE,1,1
26.66,LQ,Low,Night,Rain,W,1,1
24.74,WC,Low,Night,Rain,NE,7,0
27.53,NM,High,Night,Cloudy,W,2,1
22.89,LQ,High,Daytime,Cloudy,S,1,0
24.75,WC,Low,Night,Clear,SW,6,0
14.72,WC,High,Night,Rain,N,5,1
7.15,NM,High,Daytime,Clear,S,6,1
15.61,FM,High,Daytime,Rain,N,7,1
20.12,LQ,High,Daytime,Cloudy,S,8,1
26.57,WG,High,Daytime,Cloudy,SE,8,0
14.28,FM,Low,Night,Rain,NW,3,0
28.03,WC,Low,Daytime,Clear,NE,7,1
29.04,NM,High,Daytime,Rain,NE,4,0
1.4,WC,High,Night,Cloudy,W,5,0
29.56,LQ,High,Night,Cloudy,SW,8,1
4.56,WG,High,Daytime,Cloudy,NE,5,1
29.01,FQ,High,Night,Rain,E,7,1
26.55,WC,High,Night,Cloudy,N,1,0
29.47,LQ,High,Night,Rain,NE,3,1
29.23,FM,Low,Daytime,Clear,SE,1,0
23.83,WG,Low,Daytime,Cloudy,NE,5,1
5.83,FQ,High,Night,Clear,E,5,1
20.78,LQ,High,Night,Clear,NE,3,0
8.07,FM,High,Daytime,Rain,SE,6,1
3.73,WG,High,Night,Clear,SW,7,1
12.72,WG,Low,Night,Rain,N,7,0
2.98,WC,High,Night,Clear,E,8,0
6.42,FM,High,Night,Cloudy,NW,3,0
7.74,WG,Low,Night,Rain,S,6,1
19.53,WG,High,Night,Clear,NW,5,0
24.18,FQ,High,Daytime,Clear,N,1,1
21.79,WC,High,Night,Clear,E,1,1
17.99,FM,Low,Night,Rain,N,4,0
7.63,LQ,Low,Night,Clear,W,5,1
20.35,FM,Low,Night,Rain,SE,1,1
5.96,WG,High,Night,Rain,W,8,0
12.52,NM,High,Night,Clear,N,2,1
15.96,LQ,High,Daytime,Cloudy,NW,6,0
5.92,WC,Low,Night,Rain,NW,7,1
12.83,NM,High,Daytime,Cloudy,N,4,0
12.6,WC,High,Night,Rain,W,8,1
16.6,NM,Low,Night,Rain,W,5,0
15.93,FQ,Low,Daytime,Clear,W,8,1
7.45,LQ,High,Daytime,Cloudy,N,8,1
24.92,LQ,Low,Night,Cloudy,E,4,0
25.24,WC,Low,Night,Cloudy,NW,8,1
4.77,WC,Low,Daytime,Cloudy,E,4,0
16.9,WG,High,Night,Cloudy,NE,8,0
24.42,NM,High,Daytime,Cloudy,W,2,1
29.03,FQ,Low,Night,Clear,S,8,1
8.24,FM,High,Night,Cloudy,N,5,0
13.58,WC,Low,Daytime,Rain,SW,7,0
9.37,FM,Low,Daytime,Clear,E,2,0
10.9,WC,Low,Night,Cloudy,NE,4,1
14.5,FM,Low,Night,Rain,SW,5,0
2.45,FM,High,Daytime,Rain,NE,8,0
26.97,NM,High,Night,Rain,N,6,0
9.03,WC,High,Night,Cloudy,SE,8,0
11.51,WG,High,Night,Cloudy,NE,7,0
8.64,FM,High,Daytime,Cloudy,SE,1,1
29.67,WG,Low,Night,Cloudy,NW,1,0
20.9,WC,Low,Daytime,Rain,SE,8,1
25.32,LQ,High,Night,Clear,NE,4,1
16.32,LQ,High,Night,Rain,W,7,0
28.99,FQ,High,Daytime,Clear,N,7,1
9.5,WC,High,Night,Clear,E,1,0
1.61,LQ,High,Night,Rain,NE,4,0
19.34,WG,High,Daytime,Clear,SE,7,1
21.85,WC,High,Night,Clear,NW,8,0
17.83,FM,High,Night,Clear,SE,8,1
26.3,WG,High,Night,Rain,S,5,0
28.94,FM,Low,Night,Rain,NE,8,0
14.21,FQ,High,Night,Clear,NW,1,1
4.02,WG,High,Night,Cloudy,NW,1,0
24.31,FQ,Low,Daytime,Cloudy,SE,3,0
12.49,WG,Low,Night,Clear,NW,8,0
21.44,NM,High,Daytime,Rain,N,1,1
24.01,NM,High,Daytime,Clear,S,8,0
15.25,WG,Low,Night,Cloudy,SE,8,0
2.72,LQ,High,Night,Clear,SE,4,0
15.31,LQ,High,Daytime,Cloudy,NW,1,1
27.54,WG,High,Night,Cloudy,NE,2,1
14.28,LQ,Low,Night,Clear,SW,8,0
28.07,FQ,Low,Daytime,Cloudy,SE,8,1
1.68,WC,Low,Night,Clear,N,7,1
6.69,WC,Low,Night,Cloudy,E,1,0
15.66,LQ,Low,Daytime,Rain,N,4,0
11.36,LQ,High,Night,Rain,NW,2,0
3.79,WG,Low,Daytime,Rain,NE,8,0
2.78,LQ,Low,Daytime,Clear,NW,7,0
24.59,FQ,Low,Night,Cloudy,W,2,1
23.87,FQ,High,Night,Rain,E,1,0
29.03,NM,Low,Night,Cloudy,S,1,1
14.97,NM,High,Daytime,Clear,NW,2,1
13.01,WG,High,Daytime,Cloudy,SW,4,0
4.5,WC,High,Daytime,Clear,N,5,0
3.38,NM,High,Daytime,Clear,S,8,1
16.78,LQ,High,Daytime,Rain,NE,1,0
2.19,WG,High,Night,Cloudy,SE,1,0
14.57,WG,High,Night,Clear,W,2,0
4.63,WG,Low,Night,Clear,N,4,1
10.56,FQ,Low,Night,Cloudy,SW,4,1
2.98,WG,Low,Daytime,Clear,E,7,0
2.26,LQ,Low,Night,Rain,SW,3,1
25.48,NM,Low,Night,Clear,NW,6,1
12.65,NM,Low,Daytime,Cloudy,W,7,0
26.58,WG,High,Night,Cloudy,N,6,1
6.66,WC,High,Night,Rain,SW,1,1
8.73,WC,Low,Night,Clear,N,1,0
9.76,WC,Low,Night,Clear,NW,4,0
22.65,WC,High,Night,Clear,S,7,1
2.46,FQ,High,Daytime,Cloudy,NE,8,1
20.06,LQ,Low,Daytime,Clear,E,2,0
12.3,LQ,High,Night,Clear,E,4,0
14.75,WG,High,Daytime,Cloudy,S,7,1
1.64,WG,Low,Daytime,Cloudy,NE,1,1
16.36,NM,Low,Daytime,Cloudy,SE,1,0
27.55,FM,High,Daytime,Cloudy,N,7,0
28.4,LQ,High,Daytime,Cloudy,NW,8,0
5.05,NM,High,Daytime,Rain,E,3,1
25.97,WG,Low,Daytime,Clear,NE,2,0
19.3,LQ,Low,Night,Clear,NW,6,1
14.41,WC,High,Night,Rain,W,7,1
26.75,LQ,High,Night,Rain,SW,4,0
21.59,WG,High,Daytime,Cloudy,S,1,1
24.82,WG,Low,Daytime,Cloudy,S,8,1
29.78,NM,Low,Night,Cloudy,SW,1,0
12.73,WC,Low,Daytime,Cloudy,W,4,0
14.01,WG,Low,Daytime,Clear,NE,7,1
15.3,WG,Low,Night,Rain,N,4,1
6.29,WC,Low,Night,Rain,N,2,1
10.74,NM,Low,Daytime,Clear,W,2,1
8.55,WG,Low,Night,Clear,NW,4,1
12.5,LQ,High,Night,Rain,N,5,1
17.4,WG,Low,Daytime,Rain,NE,5,0
25.2,NM,Low,Night,Clear,W,4,1
7.31,FQ,Low,Night,Clear,SW,2,1
27.35,WC,Low,Daytime,Clear,S,2,0
27.31,WG,Low,Night,Clear,SE,8,1
10.49,FQ,High,Daytime,Rain,W,8,1
4.69,WC,Low,Night,Rain,N,1,0
8.56,FM,Low,Night,Cloudy,SW,6,0
22.29,FM,High,Daytime,Cloudy,S,8,1
11.29,WG,Low,Daytime,Clear,W,1,1
23.96,NM,High,Night,Clear,S,4,1
13.45,NM,High,Night,Rain,SW,7,0
29.31,FM,Low,Night,Rain,N,2,0
28.28,NM,High,Night,Cloudy,E,1,1
6.89,WG,Low,Daytime,Clear,E,2,1
19.54,WG,Low,Night,Cloudy,SE,5,1
2.84,FM,Low,Daytime,Clear,NE,2,0
12.95,WG,High,Night,Cloudy,E,2,0
24.46,WG,Low,Night,Cloudy,N,8,0
4.49,NM,High,Night,Clear,W,5,1
2.27,WG,High,Night,Rain,W,5,1
1.28,WG,High,Night,Cloudy,SW,6,0
16.61,WG,Low,Night,Cloudy,W,6,0
17.77,LQ,High,Daytime,Rain,S,3,0
18.79,NM,Low,Daytime,Clear,S,7,0
20.73,NM,High,Night,Rain,W,7,1
10.1,WC,High,Daytime,Rain,SW,3,0
8.87,NM,High,Daytime,Rain,NE,7,1
23.46,FM,High,Daytime,Cloudy,W,1,0
2.2,NM,High,Daytime,Clear,W,1,1
17.53,LQ,Low,Night,Clear,SW,1,0
24.38,WG,Low,Daytime,Cloudy,W,7,0
17.26,WC,Low,Daytime,Clear,SE,8,0
16.78,WG,Low,Daytime,Clear,E,2,0
11.09,WC,Low,Night,Cloudy,W,5,0
18.97,WC,Low,Daytime,Cloudy,E,8,0
25.87,WG,High,Daytime,Cloudy,S,2,1
16.1,NM,Low,Night,Cloudy,SE,4,0
24.08,WC,Low,Daytime,Clear,NW,4,0
19.64,WG,Low,Daytime,Cloudy,W,4,1
16.93,WG,High,Daytime,Clear,SE,8,1
15.97,WC,High,Night,Cloudy,SE,6,0
13.68,LQ,Low,Night,Clear,NE,3,0
28.79,WG,Low,Night,Cloudy,E,3,1
12.9,WG,Low,Night,Clear,SW,6,1
24.62,WC,High,Daytime,Clear,SW,8,1
11.0,WC,High,Night,Clear,NE,2,1
15.58,WG,Low,Night,Rain,NW,6,0
14.32,WC,High,Night,Clear,S,5,1
11.92,WC,High,Daytime,Clear,SW,4,0
3.18,WG,Low,Night,Rain,E,8,0
28.31,NM,High,Night,Cloudy,NW,2,0
1.53,WG,Low,Night,Clear,SW,6,1
5.05,NM,High,Night,Clear,NW,2,0
12.98,FM,Low,Daytime,Rain,NW,7,1
13.37,WG,High,Night,Cloudy,S,6,0
3.05,NM,High,Daytime,Clear,W,4,1
3.38,WG,High,Daytime,Clear,N,2,0
27.91,WG,Low,Night,Clear,SW,3,0
10.8,WC,High,Night,Clear,S,2,0
21.35,FQ,High,Night,Clear,E,5,1
25.38,WC,Low,Daytime,Rain,E,1,0
12.75,LQ,Low,Daytime,Rain,W,7,0
2.16,WC,High,Daytime,Cloudy,S,8,0
7.56,WC,High,Night,Cloudy,NE,2,0
19.72,FQ,High,Night,Rain,SE,6,1
25.98,WG,Low,Daytime,Cloudy,SW,3,1
24.43,WG,Low,Daytime,Clear,E,1,1
29.03,NM,Low,Daytime,Cloudy,SE,3,0
29.33,WG,High,Daytime,Rain,S,4,0
18.33,WG,High,Daytime,Cloudy,E,8,0
14.26,LQ,Low,Night,Rain,SE,6,1
26.69,LQ,High,Night,Cloudy,E,3,0
10.53,WG,High,Night,Clear,S,4,1
2.85,FM,Low,Night,Rain,S,3,1
10.03,WG,Low,Night,Rain,N,5,0
10.56,LQ,High,Night,Clear,SE,2,0
14.76,FM,High,Daytime,Clear,E,5,0
21.49,WG,High,Daytime,Clear,SE,7,1
2.58,WG,High,Night,Clear,SE,4,1
10.9,WG,High,Night,Rain,N,2,1
2.29,FM,Low,Daytime,Cloudy,E,4,0
1.87,FQ,Low,Night,Rain,SW,7,0
28.73,WG,High,Night,Rain,N,1,0
28.9,LQ,Low,Daytime,Clear,W,8,0
9.76,WG,High,Night,Cloudy,N,5,1
24.84,WG,Low,Night,Clear,SW,2,0
2.13,WC,Low,Daytime,Clear,SW,3,1
11.04,WG,Low,Night,Cloudy,E,5,1
27.66,WG,Low,Daytime,Clear,SW,4,0
18.87,FM,High,Night,Rain,NE,4,1
18.55,WC,High,Daytime,Rain,SE,8,0
17.73,LQ,High,Daytime,Rain,N,8,0
20.2,FQ,Low,Night,Clear,N,7,0
21.14,WC,Low,Night,Clear,N,3,0
23.92,NM,Low,Daytime,Rain,N,6,1
17.93,FM,Low,Daytime,Cloudy,W,4,1
12.37,NM,High,Night,Cloudy,N,7,0
5.27,FM,High,Daytime,Cloudy,N,3,0
28.26,LQ,Low,Night,Cloudy,N,2,0
25.98,WC,High,Night,Rain,SE,3,1
14.06,FM,High,Daytime,Clear,SW,6,1
19.88,FM,High,Night,Rain,W,6,1
18.48,LQ,High,Night,Cloudy,N,5,0
22.84,LQ,High,Daytime,Cloudy,NE,1,0
20.24,WC,High,Night,Cloudy,N,7,0
10.58,WC,Low,Night,Rain,NW,6,1
10.93,FQ,High,Daytime,Clear,NW,6,1
12.55,WC,High,Daytime,Rain,SW,8,1
26.31,WC,High,Daytime,Clear,NW,3,1
22.2,WC,High,Daytime,Clear,SW,8,1
15.51,FQ,Low,Daytime,Cloudy,NE,3,1
18.17,WC,High,Night,Cloudy,SE,4,0
16.03,LQ,Low,Night,Clear,SW,4,0
25.65,FQ,High,Night,Clear,S,2,1
29.58,NM,Low,Daytime,Cloudy,SE,2,1
15.43,WC,High,Daytime,Rain,SW,2,0
5.43,WG,Low,Daytime,Cloudy,E,1,1
13.98,FM,Low,Night,Cloudy,E,1,1
8.06,WG,Low,Daytime,Rain,S,7,1
8.2,LQ,High,Daytime,Clear,NW,1,0
14.55,WC,Low,Daytime,Cloudy,N,1,0
6.47,NM,Low,Night,Cloudy,SW,3,1
23.89,WC,High,Night,Clear,SE,1,0
15.84,FM,High,Night,Cloudy,E,4,0
8.7,NM,High,Night,Rain,SW,1,1
18.05,WG,Low,Night,Clear,E,7,1
